post_id,service_cible,texte_clean,langue,canal,region,sentiment_score,sentiment_label,categorie,date_post
POST_b38d2e95b5,FREE_MONEY,free money simple pratique pour les petites sommes,FR,WHATSAPP,DAKAR,0.739,POSITIF,POSITIF,2026-05-26
POST_ed5627e486,SENELEC,senelec problem dafa metti,WO,TWITTER,KAOLACK,-0.736,NEGATIF_FORT,AUTRE,2026-05-08
POST_a3f6b84202,ORANGE_MONEY,orange money encore panne inacceptable,FR,RECLAMATION,ZIGUINCHOR,-0.729,NEGATIF_FORT,TECHNIQUE,2026-05-28
POST_a189d91cd2,TER,ter pratique rapide entre dakar top,FR,RECLAMATION,DAKAR,0.828,POSITIF,POSITIF,2026-05-05
POST_a2a9fa1ffb,SENELEC,coupure électrique pendant senelec scandaleux,FR,WHATSAPP,KAOLACK,-0.793,NEGATIF_FORT,AUTRE,2026-05-11
POST_40663e8d85,ORANGE_MONEY,orange money fiable pour les transferts internationaux,FR,WHATSAPP,ZIGUINCHOR,0.805,POSITIF,POSITIF,2026-05-25
POST_f7784b16e3,SEN_EAU,facture sen eau anormalement élevée,FR,WHATSAPP,ZIGUINCHOR,-0.016,NEGATIF,AUTRE,2026-05-04
POST_ab7936f421,FREE_MONEY,free money gratuit pour les transferts entre abonnés free,FR,TWITTER,ZIGUINCHOR,0.82,POSITIF,POSITIF,2026-05-19
POST_6ba161c934,FREE_MONEY,free money simple pratique pour les petites sommes,FR,TWITTER,ZIGUINCHOR,0.644,POSITIF,POSITIF,2026-05-09
POST_3e55937838,WAVE,frais wave trop cher orange money moins cher,FR,TWITTER,THIES,-0.714,NEGATIF_FORT,TARIF,2026-05-20
POST_2e7d4e9e2d,SEN_EAU,est revenue après sen eau enfin réactif,FR,TWITTER,KAOLACK,0.098,NEUTRE,AUTRE,2026-05-24
POST_8ab369ba2b,SENELEC,senelec délestage tous les ras bol,FR,FACEBOOK,ZIGUINCHOR,-0.7,NEGATIF_FORT,AUTRE,2026-05-19
POST_d46e96ff3b,ORANGE_MONEY,service orange money efficace pour les paiements factures,FR,RECLAMATION,THIES,0.733,POSITIF,POSITIF,2026-05-21
POST_e5161d3d77,TER,ter pratique rapide entre dakar top,FR,WHATSAPP,SAINT_LOUIS,0.803,POSITIF,POSITIF,2026-05-21
POST_25c4d88b0f,TER,ter dafa rafet,WO,FACEBOOK,THIES,0.881,POSITIF,POSITIF,2026-05-14
POST_26dc0f702a,WAVE,wave rapide meilleur service mobile money sénégal,FR,RECLAMATION,SAINT_LOUIS,0.731,POSITIF,POSITIF,2026-05-30
POST_710bd8a976,WAVE,transaction wave argent débité sans confirmation,FR,FACEBOOK,THIES,0.052,NEUTRE,AUTRE,2026-05-09
POST_baf1835c64,SEN_EAU,pas depuis jours sen eau répond pas,FR,WHATSAPP,ZIGUINCHOR,-0.096,NEGATIF,AUTRE,2026-05-22
POST_425b99d0d6,TER,ter ponctuel voyage confortable,FR,RECLAMATION,KAOLACK,0.085,NEUTRE,AUTRE,2026-05-27
POST_f61c5a4581,SEN_EAU,est revenue après sen eau enfin réactif,FR,WHATSAPP,DAKAR,-0.026,NEGATIF,AUTRE,2026-05-06
POST_2b6737d6e7,TER,ter bondé aux heures prévoir extension nécessaire,FR,TWITTER,DAKAR,-0.061,NEGATIF,AUTRE,2026-05-23
POST_bf55e97cf3,TER,application ter bug impossible ticket,FR,RECLAMATION,SAINT_LOUIS,-0.712,NEGATIF_FORT,TECHNIQUE,2026-05-28
POST_d751a39b91,WAVE,wave dafa duma gënn xaalis,WO,RECLAMATION,ZIGUINCHOR,-0.911,NEGATIF_FORT,TECHNIQUE,2026-05-11
POST_8048e8dd77,TER,ter bondé aux heures prévoir extension nécessaire,FR,TWITTER,DAKAR,-0.059,NEGATIF,AUTRE,2026-05-06
